Company - ,"RELMADA THERAPEUTICS, INC."

Nominee,For,Withheld,Broker    Non-Votes,Total Votes,For %,Against %,URL
John Glasspool (Class III 36 month term),7693573,9981548,4311222,21986343,--,--,https://www.sec.gov/Archives/edgar/data/1553643/000121390024047968/ea0207126-8k_relmada.htm
Paul Kelly (Class III 36 month term),11799277,5875844,4311222,21986343,--,--,https://www.sec.gov/Archives/edgar/data/1553643/000121390024047968/ea0207126-8k_relmada.htm

Nominee,For,Against,Abstentions,Broker Non-Votes,Total Votes,For %,Against %,URL
--,19984165,1966620,35558,-,21986343,--,--,https://www.sec.gov/Archives/edgar/data/1553643/000121390024047968/ea0207126-8k_relmada.htm

Nominee,For,Against,Abstentions,Broker Non-Votes,Total Votes,For %,Against %,URL
--,4261878,13407997,5246,4311222,21986343,--,--,https://www.sec.gov/Archives/edgar/data/1553643/000121390024047968/ea0207126-8k_relmada.htm

Nominee,For,Against,Abstentions,Broker Non-Votes,Total Votes,For %,Against %,URL
--,7529377,10119590,26154,4311222,21986343,--,--,https://www.sec.gov/Archives/edgar/data/1553643/000121390024047968/ea0207126-8k_relmada.htm

Company - ,CHERRY HILL MORTGAGE INVESTMENT CORPORATION

Nominee,For,Withheld,Broker Non-Votes,Total Votes,For %,Against %,URL
Jeffery B. Lown II,8447295,2379525,9042073,19868893,--,--,https://www.sec.gov/Archives/edgar/data/1571776/000114036124030193/ef20031185_8k.htm
Joseph Murin,8316544,2510276,9042073,19868893,--,--,https://www.sec.gov/Archives/edgar/data/1571776/000114036124030193/ef20031185_8k.htm
Robert C. Mercer Jr.,8409381,2417439,9042073,19868893,--,--,https://www.sec.gov/Archives/edgar/data/1571776/000114036124030193/ef20031185_8k.htm
Sharon Lee Cook,8400724,2426096,9042073,19868893,--,--,https://www.sec.gov/Archives/edgar/data/1571776/000114036124030193/ef20031185_8k.htm

Nominee,For,Against,Abstained,Broker Non-Votes,Total Votes,For %,Against %,URL
--,6598491,3529767,698562,9042073,19868893,--,--,https://www.sec.gov/Archives/edgar/data/1571776/000114036124030193/ef20031185_8k.htm

Nominee,For,Against,Abstained,Broker Non-Votes,Total Votes,For %,Against %,URL
--,17147125,2189538,532230,N/A,19868893,--,--,https://www.sec.gov/Archives/edgar/data/1571776/000114036124030193/ef20031185_8k.htm

Nominee,For,Against,Abstained,Broker Non-Votes,Total Votes,For %,Against %,URL
--,8727111,1778500,321209,9042073,19868893,--,--,https://www.sec.gov/Archives/edgar/data/1571776/000114036124030193/ef20031185_8k.htm

Company - ,"ASSERTIO HOLDINGS, INC."

Votes For,Votes Against,Abstentions,Broker Non-Votes,Total Votes,For %,Against %,URL,
Peter D. Staple,40111675,3612710,304804,62060125,--,--,--,https://www.sec.gov/Archives/edgar/data/1808665/000110465924066682/tm2415886d1_8k.htm
Sravan K. Emany,40795686,2927466,306037,62060125,--,--,--,https://www.sec.gov/Archives/edgar/data/1808665/000110465924066682/tm2415886d1_8k.htm
Sigurd C. Kirk,40849191,2888003,291996,62060125,--,--,--,https://www.sec.gov/Archives/edgar/data/1808665/000110465924066682/tm2415886d1_8k.htm
Heather L. Mason,41021508,2691152,316530,62060125,--,--,--,https://www.sec.gov/Archives/edgar/data/1808665/000110465924066682/tm2415886d1_8k.htm
